,movie_id,movie_name,rating,votes
146,0268978,A Beautiful Mind,8.2,869565
147,1305806,The Secret in Their Eyes,8.2,198011
148,0081398,Raging Bull,8.2,329114
149,0096283,My Neighbor Totoro,8.2,303360
150,0071315,Chinatown,8.2,302590
151,0120735,"Lock, Stock and Two Smoking Barrels",8.2,546711
152,0015864,The Gold Rush,8.2,103908
153,5027774,"Three Billboards Outside Ebbing, Missouri",8.1,454423
154,0046912,Dial M for Murder,8.2,162795
155,0477348,No Country for Old Men,8.1,884215
156,1130884,Shutter Island,8.2,1171227
157,0050976,The Seventh Seal,8.2,170255
158,0080678,The Elephant Man,8.1,225419
159,0084787,The Thing,8.1,381549
160,0167404,The Sixth Sense,8.1,929025
161,4729430,Klaus,8.2,114907
162,2096673,Inside Out,8.1,639507
163,0434409,V for Vendetta,8.1,1053608
164,0041959,The Third Man,8.1,162161
165,0050986,Wild Strawberries,8.2,99424
166,0083658,Blade Runner,8.1,709409
167,0050212,The Bridge on the River Kwai,8.1,207775
168,0117951,Trainspotting,8.1,646516
169,0120382,The Truman Show,8.1,970095
170,0107290,Jurassic Park,8.1,891871
171,1291584,Warrior,8.1,444437
172,0353969,Memories of Murder,8.1,151125
173,0476735,My Father and My Son,8.3,81496
174,0116282,Fargo,8.1,633174
175,0266543,Finding Nemo,8.1,970277
176,0031381,Gone with the Wind,8.1,295981
177,0266697,Kill Bill: Vol. 1,8.1,1026355
178,0046438,Tokyo Story,8.2,55544
179,0047296,On the Waterfront,8.1,145360
180,0079944,Stalker,8.1,121361
181,0017925,The General,8.1,83305
182,3011894,Wild Tales,8.1,183424
183,0077416,The Deer Hunter,8.1,318316
184,0015324,Sherlock Jr.,8.2,44101
185,1205489,Gran Torino,8.1,733158
186,3170832,Room,8.1,385148
187,2278388,The Grand Budapest Hotel,8.1,732082
188,0060827,Persona,8.1,107508
189,0112471,Before Sunrise,8.1,281243
190,0978762,Mary and Max,8.1,167924
191,1392214,Prisoners,8.1,623200
192,0107207,In the Name of the Father,8.1,162712
193,0031679,Mr. Smith Goes to Washington,8.1,109305
194,2267998,Gone Girl,8.1,890514
195,0264464,Catch Me If You Can,8.1,864178
196,2119532,Hacksaw Ridge,8.1,455857
197,0035446,To Be or Not to Be,8.2,32065
198,8108198,Andhadhun,8.2,78735
199,0072684,Barry Lyndon,8.1,154529
200,0118715,The Big Lebowski,8.1,751849
201,1950186,Ford v Ferrari,8.1,320586
202,2024544,12 Years a Slave,8.1,656133
203,0019254,The Passion of Joan of Arc,8.1,49534
204,0892769,How to Train Your Dragon,8.1,683182
205,1392190,Mad Max: Fury Road,8.1,910035
206,0046268,The Wages of Fear,8.1,56335
207,0052618,Ben-Hur,8.1,223950
208,0405159,Million Dollar Baby,8.1,649204
209,0097165,Dead Poets Society,8.1,440608
210,0074958,Network,8.1,148353
211,1201607,Harry Potter and the Deathly Hallows: Part 2,8.1,788605
212,0077711,Autumn Sonata,8.2,29421
213,0092005,Stand by Me,8.1,373155
214,4016934,The Handmaiden,8.1,122857
215,0061512,Cool Hand Luke,8.1,165761
216,0053198,The 400 Blows,8.1,108805
217,3315342,Logan,8.1,672348
218,0116231,The Bandit,8.2,66313
219,1028532,Hachi: A Dog's Tale,8.1,261930
220,0091763,Platoon,8.1,388965
221,0113247,La Haine,8.1,156332
222,0079470,Monty Python's Life of Brian,8.1,375032
223,1895587,Spotlight,8.1,433914
224,0395169,Hotel Rwanda,8.1,339833
225,0032976,Rebecca,8.1,127237
226,1979320,Rush,8.1,445611
227,0758758,Into the Wild,8.1,586787
228,0060107,Andrei Rublev,8.1,49016
229,0198781,"Monsters, Inc.",8.1,836026
230,1954470,Gangs of Wasseypur,8.2,87016
231,0245712,Amores Perros,8.1,227909
232,5323662,A Silent Voice: The Movie,8.2,57406
233,0075148,Rocky,8.1,531558
234,7060344,Raatchasan,8.5,31813
235,0118694,In the Mood for Love,8.1,131941
236,0087544,Nausicaä of the Valley of the Wind,8.1,156277
237,0025316,It Happened One Night,8.1,96590
238,11032374,Demon Slayer: Mugen Train,8.4,27091
239,0058946,The Battle of Algiers,8.1,55013
240,12361178,Drishyam 2,8.7,28015
241,0381681,Before Sunset,8.1,243507
242,0048021,Rififi,8.1,30984
243,0111495,Three Colors: Red,8.1,94129
244,0083922,Fanny and Alexander,8.1,59091
245,0093779,The Princess Bride,8.1,401159
246,0169858,Neon Genesis Evangelion: The End of Evangelion,8.1,42935
247,2948372,Soul,8.1,258318
248,0018455,Sunrise,8.1,47973
249,10431500,Miracle in Cell No. 7,8.2,40370
